@relation cmo1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7

@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {1,3,4,5,6,7}

@data
-0.002287,-0.028889,0.012995,1
-0.00726,0.014417,-0.056784,1
-0.00726,0.063886,0.022991,1
-0.012233,0.008213,-0.02686,1
-0.017222,-0.004154,0.032988,1
-0.012233,-0.004154,-0.036791,1
-0.012233,-0.035093,-0.02686,1
-0.022195,0.008213,-0.076712,1
-0.017222,0.02058,-0.086643,1
-0.00726,0.02058,-0.086643,1
-0.009755,0.002009,-0.006933,1
-0.00726,0.014417,-0.036791,1
-0.012233,-0.010358,-0.046788,1
-0.012233,0.026784,-0.086643,1
-0.014728,-0.010358,-0.006933,1
-0.014728,0.051518,0.022991,1
-0.014728,0.032947,-0.076712,1
-0.014728,0.032947,-0.006933,1
-0.012233,0.032947,-0.016864,1
-0.012233,0.008213,-0.066715,1
-0.012233,0.032947,-0.036791,1
-0.00726,0.026784,0.062846,1
-0.012233,0.039151,0.012995,1
-0.004782,0.045355,0.032988,1
-0.004782,0.02058,0.003064,1
-0.017222,0.039151,0.012995,1
-0.012233,0.032947,-0.02686,1
-0.012233,-0.004154,-0.02686,1
