@relation mnl2 
@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {'1','3','4','5','6','7'}
@data
0.059688,-0.00229,-0.002398,3
0.280416,-0.001886,-0.001309,4
0.204625,0.008282,0.009055,5
0.147781,-0.001043,0.052861,6
0.134461,0.003093,-0.08491,7
0.114745,0.007922,0.01363,1
0.071536,-0.010173,-0.005096,3
0.261618,0.011326,-0.010795,4
0.21176,0.004228,0.005124,5
0.154496,-0.006563,0.012127,6
0.139353,0.016869,0.013866,7
0.114745,0.016603,-0.034521,1
0.083411,-0.036438,0.019121,3
0.276671,0.006045,-0.010795,4
0.214143,-0.003895,-0.010549,5
0.157843,-0.001043,0.001952,6
0.136915,0.035217,-0.08491,7
0.099513,0.007922,-0.016459,1
0.067596,-0.012806,0.035277,3
0.265388,0.000764,-0.001309,4
0.209392,0.004228,-0.002713,5
0.147781,-0.012083,0.032477,6
0.134461,0.023742,-0.08491,7
0.099513,0.003567,0.019625,1
0.059688,0.005576,0.002982,3
0.269132,0.008694,-0.00606,4
0.21176,-0.00795,-0.000747,5
0.144413,-0.001043,0.001952,6
0.134461,0.028344,-0.08491,7
0.084281,0.016603,-0.004431,1
0.075503,-0.010173,0.002982,3
0.269132,-0.007167,-0.00842,4
0.207009,0.00016,0.005124,5
0.144413,0.004478,-0.003153,6
0.134461,-0.012969,-0.045296,7
0.107154,-0.031156,0.01363,1
0.083411,0.000326,0.013741,3
0.272902,0.006045,0.008162,4
0.197507,0.00016,0.011007,5
0.144413,-0.001043,0.047757,6
0.139353,-0.006081,-0.025618,7
0.099513,-0.018149,0.025658,1
0.075503,0.005576,0.002982,3
0.261618,-0.009798,-0.003684,4
0.209392,0.010303,0.007089,5
0.151128,-0.014852,0.007023,6
0.134461,-0.019857,0.053481,7
0.114745,0.025283,0.049714,1
0.075503,0.00296,-0.013174,3
0.269132,-0.007167,-0.00842,4
0.199874,0.002194,-0.006631,5
0.147781,-0.012083,-0.038782,6
0.141807,0.005394,0.13245,7
0.114745,0.012248,0.055748,1
0.071536,-0.012806,-0.010476,3
0.265388,-0.007167,0.003427,4
0.204625,0.00016,0.012973,5
0.144413,0.001709,-0.033678,6
0.132007,-0.003795,0.073158,7
0.122386,-0.000759,-0.034521,1
0.071536,0.000326,-0.007795,3
0.280416,-0.025659,0.001051,4
0.209392,0.00016,0.003171,5
0.137698,-0.014852,-0.028607,6
0.132007,0.016869,0.073158,7
0.107154,0.012248,0.019625,1
0.067596,0.00296,0.000283,3
0.272902,0.006045,0.027119,4
0.214143,-0.003895,0.003171,5
0.144413,-0.006563,-0.069308,6
0.136915,0.000807,0.231227,7
0.091922,-0.000759,0.04372,1
0.067596,0.016092,-0.018554,3
0.272902,0.013975,0.005786,4
0.21176,-0.00795,-0.000747,5
0.141044,0.007247,-0.028607,6
0.144245,-0.010668,0.053481,7
0.114745,-0.039866,-0.010465,1
0.071536,0.000326,0.002982,3
0.265388,0.008694,0.020008,4
0.209392,0.00016,0.003171,5
0.147781,-0.003812,-0.023503,6
0.134461,-0.010668,0.171935,7
0.091922,-0.013795,-0.022493,1
0.055721,-0.00229,-0.015855,3
0.261618,0.008694,-0.003684,4
0.204625,-0.003895,0.003171,5
0.154496,-0.001043,0.017231,6
0.132007,0.014568,0.112643,7
0.099513,-0.031156,0.01363,1
