@relation 'civil-weka.filters.unsupervised.attribute.Remove-R1,5-8-weka.filters.unsupervised.attribute.Standardize'

@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {1,3,4,5,6,7}

@data
-0.022414,-0.011314,-0.009728,3
-0.028514,0.006444,-0.009728,3
-0.028514,0.00249,-0.007488,3
-0.025464,0.008409,-0.011954,3
-0.025464,-0.013278,-0.011954,3
-0.028514,-0.003417,-0.018661,3
-0.028514,0.02419,-0.009728,3
-0.025464,0.020248,-0.005262,3
-0.025464,0.004467,-0.011954,3
-0.031544,0.006444,-0.018661,3
-0.031544,0.008409,-0.014195,3
-0.031544,0.000525,0.003685,3
-0.022414,-0.001452,-0.000781,3
-0.025464,-0.007372,-0.018661,3
-0.028514,-0.003417,-0.003022,3
-0.025464,-0.007372,-0.014195,3
-0.028514,0.00249,-0.014195,3
-0.028514,0.000525,-0.009728,3
-0.031544,-0.003417,-0.000781,3
-0.031544,0.000525,0.008151,3
-0.031544,0.012351,0.003685,3
-0.028514,-0.007372,0.003685,3
-0.025464,0.000525,0.008151,3
-0.025464,0.012351,0.012617,3
-0.028514,0.010386,-0.000781,3
-0.025464,0.016293,-0.005262,3
-0.025464,0.008409,0.008151,3
-0.031544,-0.007372,0.008151,3
-0.037623,-0.003417,0.003685,3
-0.019385,0.012351,-0.014195,3
-0.028514,-0.001452,0.010377,3
-0.028514,-0.005394,-0.005262,3
-0.031544,0.010386,-0.005262,3
-0.034594,0.004467,-0.005262,3
-0.028514,-0.007372,-0.000781,3
-0.031544,-0.003417,-0.009728,3
